C_V,best_n_V,best_n_M,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual
0.0,0.0,199.40435646903035,72.35000000000001,nan,50.14935569651462,nan,14426.905190534348,0.0,0.0,14426.905190534348,0.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60.0,141.0,1859.0,1.405460803411973,4.215534977433894,5.056481979558902,4.25531914893617,2647.7030221792193,594.390431818179,559.4390431818179,3207.142065361037,4.501998773775995e-11
70.0,165.0,1835.0,1.4322833599487161,4.21250007373874,5.068119891008174,4.242424242424242,2753.796226456097,695.0625121668921,569.5062512166892,3323.302477672786,9.794121069717221e-11
80.0,189.0,1811.0,1.4527602967846498,4.207751876639829,5.080066261733848,4.232804232804233,2846.6874916934357,795.2651046849277,579.5265104684928,3426.2140021619284,3.355751232447801e-10
90.0,212.0,1788.0,1.4737975076699605,4.213173701248214,5.089485458612975,4.245283018867924,2939.0234859120487,893.1928246646214,589.3192824664621,3528.342768378511,6.220091108843917e-10
100.0,236.0,1764.0,1.4927723953799266,4.2112810811339685,5.1020408163265305,4.23728813559322,3027.726607083045,993.8623351476166,599.3862335147617,3627.112840597807,6.183995537867304e-10
110.0,259.0,1741.0,1.5088593816954265,4.21360260968284,5.112004595060309,4.247104247104247,3109.1149518488073,1091.3230759078556,609.1323075907856,3718.247259439593,1.9480239643598907e-10
120.0,816.0,1184.0,3.7855818320200463,0.6837444373188275,7.4324324324324325,1.4705882352941175,4484.270803878681,557.9354608521633,555.7935460852163,5040.064349963898,3.228706191293895e-11
130.0,902.0,1098.0,4.696376230518329,0.6165529125688936,7.923497267759562,1.441241685144124,5157.138755532553,556.130727137142,555.6130727137142,5712.751828246266,6.139089236967266e-12
140.0,987.0,1013.0,5.453118126320877,0.563394421845107,8.489634748272458,1.4184397163120568,5524.471926888057,556.0702943611207,555.607029436112,6080.078956324169,4.0472514228895307e-11
150.0,1051.0,949.0,5.975572285759956,0.5839462219900462,8.956796628029505,1.4272121788772596,5723.172830566583,613.7274793115386,561.3727479311539,6284.545578497737,4.2518877307884395e-11
160.0,1063.0,937.0,6.028297422283391,0.7612312675652939,8.964781216648879,1.505174035747883,5876.784638359253,809.1888374219075,580.9188837421907,6457.703522101445,2.8421709430404007e-11
170.0,1074.0,926.0,6.071785765528137,0.9289970178638705,8.96328293736501,1.5828677839851024,6020.442136346272,997.7427971857969,599.7742797185797,6620.216416064852,7.707967597525567e-11
180.0,1085.0,915.0,6.114997940290134,1.0855584276445325,8.96174863387978,1.6589861751152073,6155.270919960359,1177.8308939943176,617.7830893994318,6773.05400935979,8.36735125631094e-11
190.0,1096.0,904.0,6.157978068606962,1.2321584934341152,8.960176991150442,1.7335766423357664,6282.213311944104,1350.4457088037902,635.0445708803791,6917.257882824484,7.457856554538012e-11
200.0,1106.0,894.0,6.19185923560428,1.3728604261448862,8.94854586129754,1.8083182640144664,6402.067424814846,1518.3836313162442,651.8383631316244,7053.905787946471,7.275957614183426e-12
210.0,1117.0,883.0,6.2344743376825384,1.5025055834199246,8.946772366930917,1.8800358102059087,6515.509703185731,1678.2987366800558,667.8298736680056,7183.3395768537375,8.003553375601768e-11
220.0,1127.0,873.0,6.268021171784266,1.627863252300982,8.934707903780067,1.9520851818988465,6623.124179776551,1834.6018853432067,683.4601885343207,7306.5843683108715,7.275957614183426e-12
230.0,1137.0,863.0,6.301422772289289,1.7465891951678958,8.92236384704519,2.0228671943711523,6725.412575900964,1985.8719149058975,698.5871914905897,7423.999767391553,3.228706191293895e-11
240.0,1801.0,199.0,58.865985826608295,0.3552917384791483,38.19095477386934,1.3325930038867295,11790.223558395903,639.8804210009461,563.9880421000946,12354.211600495997,4.547473508864641e-13
250.0,1801.0,199.0,58.19105082262199,0.4913650535466654,37.688442211055275,1.3881177123820099,11876.472728995566,884.9484614375443,588.4948461437544,12464.96757513932,6.821210263296962e-13
260.0,1801.0,199.0,57.5321305308516,0.6221007640576031,37.1859296482412,1.4436424208772902,11957.257104100438,1120.4034760677432,612.0403476067743,12569.29745170721,6.821210263296962e-13
270.0,1801.0,199.0,56.88774192354806,0.7479018573337597,36.68341708542713,1.4991671293725706,12032.934763338355,1346.9712450581012,634.6971245058102,12667.631887844165,4.547473508864641e-13
280.0,1801.0,199.0,56.25655290956955,0.8691273379033424,36.18090452261306,1.554691837867851,12103.822531011869,1565.2983355639196,656.529833556392,12760.35236456826,2.2737367544323206e-13
290.0,1801.0,199.0,55.63736054881696,0.9860984039409098,35.678391959798994,1.6102165463631315,12170.201652162395,1775.9632254975784,677.5963225497578,12847.797974712154,2.2737367544323206e-13
300.0,1801.0,199.0,55.02907292105475,1.0991035761931807,35.17587939698492,1.6657412548584118,12232.32249794142,1979.4855407239183,697.9485540723919,12930.271052013813,0.0
310.0,1801.0,199.0,54.43069392633859,1.2084029856031504,34.67336683417085,1.7212659633536922,12290.408490705526,2176.3337770712737,717.6333777071274,13008.041868412653,9.094947017729282e-13
320.0,1801.0,199.0,53.84131045468443,1.3142319799850848,34.17085427135678,1.7767906718489725,12344.659396840027,2366.9317959531377,736.6931795953137,13081.35257643534,6.821210263296962e-13
